adaptiveScore,prerequisiteScore,historicalPerformanceScore,pedagogicalOrderScore,engagementScore,diagnosticWeaknessScore,masteryScore,averageAssessmentScore,completedLabsCount,tracesCount,profileType,recommendationType,success
0.673,0.5,1.0,0.56,0.89,0.7,89.23,83.99,9,18,HIGH_PERFORMING,NORMAL_PROGRESS,1
0.735,0.5,1.0,0.95,0.93,0.7,84.29,82.51,11,10,HIGH_PERFORMING,VALIDATION,1
0.474,0.0,0.4,0.77,0.49,1.0,20.84,23.0,4,2,NEEDS_REMEDIATION,REMEDIATION,0
0.604,0.5,0.4,0.48,0.47,1.0,25.92,33.16,1,5,NEEDS_REMEDIATION,REMEDIATION,0
0.638,0.5,0.7,0.26,0.69,1.0,58.66,77.99,1,16,PROGRESSING,REMEDIATION,0
0.56,0.5,0.4,0.21,0.44,1.0,30.76,44.33,6,2,NEEDS_REMEDIATION,REMEDIATION,0
0.627,0.5,0.7,0.72,0.64,0.7,63.22,79.36,1,16,PROGRESSING,REMEDIATION,1
0.613,0.5,0.4,0.55,0.45,1.0,20.54,27.7,1,7,NEEDS_REMEDIATION,REMEDIATION,1
0.579,0.5,0.4,0.36,0.4,1.0,29.79,32.14,5,2,NEEDS_REMEDIATION,REMEDIATION,1
0.698,0.5,1.0,0.68,0.96,0.7,90.1,86.14,5,20,HIGH_PERFORMING,VALIDATION,0
0.697,1.0,1.0,0.4,0.62,0.3,67.03,83.76,1,19,PROGRESSING,REMEDIATION,1
0.392,0.0,0.4,0.36,0.28,1.0,51.14,29.49,5,8,NEEDS_REMEDIATION,REMEDIATION,0
0.573,0.5,0.4,0.46,0.19,1.0,43.73,40.18,1,3,NEEDS_REMEDIATION,REMEDIATION,0
